"","BlueV","GreenV","RedV","RedEdge1V","RedEdge2V","RedEdge3V","NIRV","NIR2V","SWIR1V","SWIR2V","BlueP","GreenP","RedP","RedEdge1P","RedEdge2P","RedEdge3P","NIRP","NIR2P","SWIR1P","SWIR2P","BlueO","GreenO","RedO","RedEdge1O","RedEdge2O","RedEdge3O","NIRO","NIR2O","SWIR1O","SWIR2O","Class_Id"
"228",811.5,707,509,756.75,1620,1930.25,1855.5,2087.5,953.75,410,764.75,609.25,375.75,615.25,1597.75,1939.5,1884.75,2021,879.75,387.5,839,549.5,320.5,400.25,876.25,990.75,938,1024.75,322,141.75,5
"229",893,819.25,686.5,1008.75,1833.75,2182.25,2127,2418.75,1616.25,807.25,866.25,766.5,551,912.75,2058,2391.25,2356.5,2603.25,1555.5,793.75,978.5,789,551.75,926.5,2204.5,2534.25,2495.75,2778.75,1635.25,842.75,5
"230",825.75,697.25,546,742,1235.5,1394.5,1333,1563.25,1076,542.25,817.25,645,443,655.75,1333,1539.5,1507,1644.5,1006.25,523.75,848,526.5,307.75,339,534,610,532,574.5,308,134.25,5
"231",907,838.25,700.5,984.25,1775.25,2069.5,1995.25,2301.75,1499.75,785.75,866,761.75,551.75,856.75,1883.5,2168.5,2115.75,2321.5,1502.25,841.75,1022.75,841.5,636.25,959.25,2245,2575,2583.25,2870.5,1672.25,908.25,5
"232",854.5,729.5,621.25,792.75,1185,1359.75,1308,1499.25,1320.5,744,823,670.5,466.5,698.5,1469.25,1635.25,1607.5,1777,1211.75,646,934,686.75,464,650.75,1432,1628,1558.75,1682.5,1088.25,550.5,5
"233",888.5,795.75,672.75,920.5,1546.5,1813.75,1764,2024.25,1471.5,758.25,833.25,706,500.5,769.5,1624.75,1892.75,1845.75,2039,1348.75,712,966.75,760.5,525.25,789.75,1830.5,2079.5,2056,2281.75,1384.25,699.25,5
"234",855,781.25,587.25,881.75,1800.75,2129.25,2071.5,2303.75,1209.5,560.5,829.75,712.5,484.25,796.5,1895.25,2219.25,2161.75,2383,1218.5,607.75,936.75,741.5,487.25,765.25,2009,2338.75,2365,2591,1149.75,541.75,5
"235",879,823.5,629.75,967.25,1854,2178.5,2082.25,2409,1400.25,660.25,872.25,766,541.25,870,1948.25,2234.25,2234.75,2430.75,1529.25,815.75,992.5,842,561.75,930.5,2444.5,2830.25,2805.75,3101,1488.75,694.5,5
"236",945.5,892.75,818.75,1080.5,1775.5,2088,2024.75,2316,1883.25,999.25,897.75,785,600.25,904.5,1963.75,2274.25,2258.75,2462.75,1806.25,1025.5,1032.75,853.5,633.25,970.25,2179.75,2515.25,2517.75,2802.25,1872,993.75,5
"237",901.25,843.5,656.25,956,1780.25,2119.25,2022.5,2334.25,1378.25,683.5,901,798.5,610,904.25,1768.75,2047,2013.5,2203.75,1536,868.5,1006.25,820.5,567.75,867.75,2193,2592.5,2539.75,2796.5,1431.75,711.75,5
"238",934.75,874,797.25,1054.5,1679.5,1962.75,1908.25,2178.75,1648,920,911.25,818,668.25,980,1889.5,2154.5,2131.5,2327.5,1706.75,1003.5,1051.25,896.5,733.75,1055,2151.5,2480,2439.75,2690.25,1835,1047.75,5
"239",887.25,846.5,678.75,1032.75,1902.25,2224,2158.75,2466.5,1389.75,684.25,863.25,760.5,564.25,898.75,1909.25,2202,2158,2378.5,1383.5,742.75,976.5,806.5,567.5,953,2293.25,2678.75,2576,2879,1402.75,695.75,5
"240",845.25,734.25,525.25,763.25,1604,1956,1893,2170,1023.25,463,827.5,684.5,450,698,1660.25,1973.25,1920.25,2089.25,1035.25,507.5,919,655,403.75,551.5,1286.25,1606.5,1556.75,1669.5,654.75,302,5
"241",906.25,855,722.25,1034,1767,2054.75,1966.25,2246,1424.25,732.25,889.5,782.25,624.25,925.25,1873.75,2135,2095.25,2327.25,1460.5,811.75,994,812.75,597.75,923.5,1993,2278,2244,2479,1350.75,725,5
"242",865,814,590,928.75,1794.75,2091.25,2021.75,2264.5,1011.25,474.75,837.5,719.75,477.25,789.25,1808.25,2146.5,2034,2229,938.5,464.5,943.75,752.25,467.25,781.75,1962.5,2277.25,2228,2433.25,821,387.5,5
